track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,bpm,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views
Daylight,David Kushner,1,2023,4,14,3528,98,387570742,80,156,130,Minor,51,32,43,83,0,9,3,Daylight,Daylight,David Kushner,4/14/2023,QZXDB2300005,44,207.0,"1,126,820,069","177,800","85,255,689",82.0,"274,070,101","3,701,289","2,557,115","285,329,503","2,578,518,632"
As It Was,Harry Styles,1,2022,3,31,23575,130,2513188493,403,198,174,Minor,52,66,73,34,0,31,6,As It Was,As It Was,Harry Styles,3/31/2022,USSM12200612,20,292.0,"3,301,814,535","407,119","169,783,402",87.0,"800,899,315","9,101,589","2,755,903","1,633,970,617","15,405,881,843"
Kill Bill,SZA,1,2022,12,8,8109,77,1163093654,183,162,89,Major,64,43,73,5,17,16,4,Kill Bill,SOS,SZA,12/8/2022,USRC12204584,68,177.7,"1,873,746,537","190,202","99,546,318",82.0,"220,538,045","3,153,793","266,430","152,410,048","1,284,413,960"
Cupid - Twin Ver.,Fifty Fifty,1,2023,2,24,2942,77,496795686,91,212,120,Minor,78,76,59,43,0,34,3,Cupid - Twin Ver.,The Beginning: Cupid - Single,FIFTY FIFTY,2/24/2023,KSA012239181,229,102.3,"861,388,470","103,040","37,365,896",48.0,"15,219,067","176,594","2,107,181","407,118,298","4,388,576,830"
"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,1,2023,7,13,873,104,30546883,80,227,78,Major,44,14,9,96,0,10,3,"What Was I Made For? [From The Motion Picture ""Barbie""]","What Was I Made For? (From The Motion Picture ""Barbie"")",Billie Eilish,7/13/2023,USUM72307484,69,177.6,"891,720,245","114,560","97,542,546",82.0,"144,741,616","2,761,964","1,443,103","498,822,693","3,998,086,216"
Classy 101,"Feid, Young Miko",2,2023,3,31,2610,40,335222234,43,100,100,Major,86,67,66,14,0,12,16,Classy 101,Classy 101,Feid,3/31/2023,USUM72304895,195,109.1,"872,148,396","90,726","70,485,920",78.0,"477,047,694","1,887,642","459,540","102,272,836","1,113,541,743"
Like Crazy,Jimin,1,2023,3,24,596,68,363369738,8,104,120,Major,63,36,73,0,0,36,4,Like Crazy,FACE,Jimin,3/24/2023,USA2P2251865,"1,308",41.1,"1,165,398,518","16,425","22,818,507",84.0,"139,608,215","4,239,579","20,340","5,827,931","25,133,495"
LADY GAGA,"Gabito Ballesteros, Junior H, Peso Pluma",3,2023,6,22,332,26,86444842,11,163,140,Minor,65,87,74,22,0,42,4,LADY GAGA,LADY GAGA,Peso Pluma,6/22/2023,QM7282306246,212,105.2,"684,204,777","48,370","25,130,304",78.0,"362,779,953","1,617,493","777,100","112,400,175","1,207,597,707"
I Can See You (Taylorï¿½ï¿½ï¿½s Version) (From The ,Taylor Swift,1,2023,7,7,516,38,52135248,73,119,123,Major,69,82,76,6,0,6,3,I Can See You (Taylorï¿½ï¿½ï¿½s Version) (From The ,Speak Now (Taylor's Version),Taylor Swift,7/7/2023,USUG12302091,"2,673",27.3,"247,056,218","19,231","16,723,973",69.0,"41,065,721","1,260,603","139,100","34,732,272","386,594,049"
I Wanna Be Yours,Arctic Monkeys,1,2013,1,1,12859,110,1297026226,24,98,135,Minor,48,44,42,12,2,11,3,I Wanna Be Yours,AM,Arctic Monkeys,1/1/2013,GBCEL1300373,"3,597",22.6,"2,185,240,293","277,753","129,062,801",86.0,"109,538,379","1,268,458","2,636","16,502,076","105,020,737"
"Peso Pluma: Bzrp Music Sessions, Vol. 55","Bizarrap, Peso Pluma",2,2023,5,31,1313,40,200647221,17,152,133,Minor,85,81,67,26,0,12,5,"Peso Pluma: Bzrp Music Sessions, Vol. 55","Peso Pluma: Bzrp Music Sessions, Vol. 55 - Single",Bizarrap,5/31/2023,UYB282301034,456,72.2,"434,019,386","47,202","14,298,402",70.0,"350,630,590","4,153,653",,,
Calm Down (with Selena Gomez),"Rï¿½ï¿½ma, Selena G",2,2022,3,25,7112,77,899183384,202,119,107,Major,80,82,80,43,0,14,4,Calm Down (with Selena Gomez),Calm Down (with Selena Gomez),Rema,8/25/2022,NGA3B2214021,53,198.0,"1,391,688,322","163,876","130,963,116",77.0,"902,742,581","8,099,187",599,"48,035","2,857,920"
MOJABI GHOST,"Tainy, Bad Bunny",2,2023,6,29,859,40,61245289,35,109,122,Minor,81,74,71,14,0,56,4,MOJABI GHOST,DATA,Tainy,6/29/2023,USA2P2331985,"1,188",43.5,"368,429,447","46,625","20,677,828",75.0,"74,049,864","676,666","3,207","955,307","6,911,099"
Last Night,Morgan Wallen,1,2023,1,31,2420,19,429829812,52,107,204,Major,52,52,68,46,0,15,4,Last Night,3 Songs At A Time Sampler,Morgan Wallen,1/31/2023,USUG12300802,157,121.9,"922,010,059","107,189","61,174,155",79.0,"141,852,059","567,295","285,414","61,112,010","811,685,466"
Rush,Troye Sivan,1,2023,7,13,864,78,22581161,71,135,126,Minor,74,35,84,0,0,11,6,Rush,Rush,Ayra Starr,9/16/2022,NGA3B2216004,205,106.4,"371,886,608","98,009","19,411,516",67.0,"361,174,452","1,904,397","3,035,139","98,505,939","1,454,848,289"
TULUM,"Peso Pluma, Grupo Frontera",2,2023,6,28,266,34,52294266,20,185,168,Major,56,63,87,39,0,11,5,TULUM,TULUM,Peso Pluma,6/28/2023,QM7282325573,328,84.6,"390,182,196","36,912","13,688,250",74.0,"253,468,644","1,103,093","1,096,644","84,875,226","1,391,833,232"
Anti-Hero,Taylor Swift,1,2022,10,21,9082,56,999748277,242,142,97,Major,64,51,63,12,0,19,5,Anti-Hero,Midnights,Taylor Swift,10/21/2022,USUG12205736,91,161.8,"1,563,224,246","117,005","97,456,780",80.0,"203,259,285","3,482,508","1,302,967","376,660,493","3,864,505,972"
TQG,"Karol G, Shakira",2,2023,2,23,4284,49,618990393,115,123,180,Minor,72,61,63,67,0,9,28,TQG,TQG,KAROL G,2/23/2023,USUM72222541,80,167.8,"1,024,381,758","78,554","69,319,589",78.0,"1,102,289,596","8,953,293","457,111","15,048,444","248,168,852"
Los del Espacio,"Big One, Duki, Lit Killah, Maria Becerra, FMK, Rusherking, Emilia, Tiago pzk",8,2023,6,1,1150,31,123122413,22,33,120,Major,81,63,68,11,0,11,4,Los del Espacio,Los del Espacio - Single,LIT killah,6/1/2023,USWL12300725,336,83.3,"373,898,429","53,671","24,287,193",72.0,"314,467,618","1,775,081","782,114","148,537,760","1,715,842,070"
Frï¿½ï¿½gil (feat. Grupo Front,"Yahritza Y Su Esencia, Grupo Frontera",2,2023,4,7,672,34,188933502,19,108,150,Major,61,39,73,37,0,11,3,Frï¿½ï¿½gil (feat. Grupo Front,Frï¿½ï¿½gil (feat. Grupo Front,Yahritza Y Su Esencia,4/7/2023,USQX92302369,765,55.4,"432,988,420","32,294","28,454,994",67.0,"194,658,217","1,261,625","633,280","45,475,847","750,998,497"
Blank Space,Taylor Swift,1,2014,1,1,11434,53,1355959075,154,123,96,Major,75,57,68,9,0,13,6,Blank Space,1989 (Deluxe),Taylor Swift,1/1/2014,USCJY1431309,463,71.5,"1,829,733,410","157,465","49,558,504",76.0,"3,624,778,617","16,916,871","104,685","38,075,232","346,032,878"
Style,Taylor Swift,1,2014,1,1,7830,42,786181836,94,111,95,Major,60,48,79,0,0,12,4,Style,1989 (Deluxe),Taylor Swift,1/1/2014,USCJY1431319,"3,179",24.4,"1,216,966,135","92,577","30,252,887",74.0,"848,555,837","4,212,951","71,954","63,817,390","428,073,160"
TQM,Fuerza Regida,1,2023,5,19,584,28,176553476,16,159,125,Minor,79,96,85,27,0,11,6,TQM,TQM - Single,Fuerza Regida,5/19/2023,QZ9QQ2300371,869,51.8,"497,682,165","40,368","24,948,673",70.0,"143,949,357","729,741","236,300","73,808,507","824,220,151"
El Azul,"Junior H, Peso Pluma",2,2023,2,10,692,25,354495408,10,107,144,Minor,56,84,65,23,0,10,6,El Azul,El Azul - Single,Junior H,2/10/2023,QZ9QQ2300115,"1,206",43.1,"684,103,586","42,304","22,784,674",76.0,"125,144,381","583,066","433,800","68,202,730","622,470,844"
Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",2,2018,10,9,24094,78,2808096550,372,117,90,Major,76,91,50,54,0,7,5,Sunflower - Spider-Man: Into the Spider-Verse,Sunflower (Spider-Man: Into the Spider-Verse),Post Malone,10/18/2018,USUM71814888,116,143.9,"3,358,704,125","392,082","123,917,182",79.0,"2,763,188,773","19,410,390","2,714,134","178,829,434","1,597,453,878"
I'm Good (Blue),"Bebe Rexha, David Guetta",2,2022,8,26,12482,80,1109433169,291,184,128,Minor,56,38,97,4,0,35,4,I'm Good (Blue),I'm Good (Blue),David Guetta,8/26/2022,UKWLG2200055,43,209.6,"1,658,229,422","262,248","239,957,538",83.0,"466,080,689","4,324,989","728,093","54,258,768","1,051,836,430"
Barbie World (with Aqua) [From Barbie The Album],"Nicki Minaj, Aqua, Ice Spice",3,2023,6,23,1117,80,65156199,82,145,144,Major,77,75,58,52,0,23,25,Barbie World (with Aqua) [From Barbie The Album],Barbie World (with Aqua) [From Barbie The Album],Nicki Minaj,6/23/2023,USAT22306213,630,60.6,"470,659,154","53,386","35,912,569",71.0,"143,805,714","2,019,310","307,562","119,653,263","1,220,529,181"
Angels Like You,Miley Cyrus,1,2020,11,27,3372,19,570515054,65,48,122,Major,67,49,64,10,0,10,3,Angels Like You,Plastic Hearts,Miley Cyrus,11/27/2020,USRC12003754,"1,697",35.5,"940,796,773","89,447","36,703,975",77.0,"165,497,158","1,629,090","1,780,416","377,871,352","3,248,071,918"
I Ain't Worried,OneRepublic,1,2022,5,13,8431,76,1085685420,241,127,140,Major,71,82,81,11,0,6,5,I Ain't Worried,"I Ainï¿½ï¿½ï¿½t Worried (Music From The Motion Pi""Top Gun: Maverick"")",OneRepublic,5/13/2022,USUM72206227,127,136.2,"1,607,421,145","212,406","160,444,270",83.0,"409,785,349","3,326,477","247,865","155,593,087","1,825,552,705"
Die For You,The Weeknd,1,2016,11,24,2483,59,1647990401,68,21,134,Minor,59,51,52,9,0,15,7,Die For You,SMITHEREENS,Joji,11/4/2022,USWB12203732,"1,412",39.4,"363,300,065","74,276","30,821,017",71.0,"77,291,326","1,109,516","119,854","41,196,230","352,701,529"
Starboy,"The Weeknd, Daft Punk",2,2016,9,21,29536,79,2565529693,281,137,186,Major,68,49,59,16,0,13,28,Starboy,Starboy,The Weeknd,9/22/2016,USUG11600976,265,95.7,"3,291,262,413","366,133","98,022,646",84.0,"2,829,990,867","14,968,547","262,780","52,707,882","375,498,232"
El Cielo,"Feid, Myke Towers, Sky Rompiendo",3,2023,6,2,1298,38,107753850,44,64,106,Minor,72,17,64,7,0,10,5,El Cielo,El Cielo - Single,Sky Rompiendo,6/2/2023,USSD12300241,"1,068",46.4,"354,097,795","53,606","50,446,311",74.0,"89,166,241","599,270","26,367","10,289,035","107,126,101"
Baby Don't Hurt Me,"David Guetta, Anne-Marie, Coi Leray",3,2023,4,6,4277,66,177740666,145,111,128,Major,60,23,91,0,0,12,3,Baby Don't Hurt Me,Baby Don't Hurt Me - Single,David Guetta,4/7/2023,UKWLG2300016,300,87.7,"509,231,024","69,486","142,546,135",79.0,"40,223,001","328,421",,42,312
AMARGURA,Karol G,1,2023,2,24,1133,39,153372011,14,71,107,Minor,92,55,70,18,0,15,7,AMARGURA,MAï¿½ï¿½ANA SERï¿½ï¿,KAROL G,2/24/2023,USUM72222552,477,70.4,"629,102,459","31,206","51,913,972",81.0,"317,295,184","924,600","969,500","28,700,787","404,330,162"
(It Goes Like) Nanana - Edit,Peggy Gou,1,2023,6,15,2259,59,57876440,0,0,130,Minor,67,96,88,12,19,8,4,(It Goes Like) Nanana - Edit,(It Goes Like) Nanana [Edit],Peggy Gou,6/15/2023,GBBKS2300080,105,150.4,"460,156,070","163,449","127,827,271",77.0,"8,183,226","98,257","530,103","65,920,648","1,032,799,567"
Another Love,Tom Odell,1,2012,10,15,18371,83,1813673666,250,122,123,Minor,45,13,54,70,0,9,4,Another Love,Songs from Another Love,Tom Odell,1/1/2012,GBARL1300107,"1,842",33.9,"2,444,335,468","380,675","168,483,196",83.0,"996,981,745","9,104,648","452,786","77,257,465","714,451,407"
Blinding Lights,The Weeknd,1,2019,11,29,43899,69,3703895074,672,199,171,Major,50,38,80,0,0,9,7,Blinding Lights,Blinding Lights,The Weeknd,11/29/2019,USUG11904206,56,194.0,"4,281,468,720","590,392","165,544,011",83.0,"833,807,130","10,093,211","2,882,064","337,322,563","3,501,177,394"
Moonlight,Kali Uchis,1,2023,2,24,2649,42,256483385,67,79,137,Minor,64,88,72,51,0,17,5,Moonlight,Moonlight,Kali Uchis,2/24/2023,USUM72219486,275,93.1,"701,558,859","110,539","46,729,655",74.0,"209,195,939","2,284,142","594,413","173,483,893","1,114,531,877"
La Bachata,Manuel Turizo,1,2022,5,26,6804,45,1214083358,139,111,125,Minor,84,85,68,58,0,22,4,La Bachata,La Bachata,Manuel Turizo,5/26/2022,QZDYA1800087,146,126.2,"1,721,045,197","156,941","97,122,096",81.0,"798,827,877","3,379,928","1,614,275","209,367,923","2,596,777,974"
S91,Karol G,1,2023,7,14,525,41,16011326,34,115,128,Minor,86,42,72,59,0,9,19,S91,S91,KAROL G,7/14/2023,USUG12305255,840,53.0,"240,161,044","22,270","15,087,485",64.0,"164,645,464","1,308,408","503,900","16,972,968","257,922,639"
cardigan,Taylor Swift,1,2020,7,24,7923,29,812019557,106,112,130,Minor,61,53,58,55,0,27,4,cardigan,folklore,Taylor Swift,7/24/2020,USUG12002836,"1,458",38.4,"1,307,283,069","94,169","67,796,903",80.0,"250,157,022","3,792,791","1,470,630","374,412,871","2,941,268,049"
Tï¿½ï¿,"dennis, MC Kevin o Chris",2,2023,5,4,731,15,111947664,27,17,130,Major,86,59,96,50,1,9,5,Tï¿½ï¿,Tï¿½ï¿,DENNIS,5/4/2023,BRSME2300692,601,61.7,"333,339,751","41,237","24,980,357",69.0,"164,941,550","1,130,932","1,253,933","124,997,599","1,585,272,275"
Left and Right (Feat. Jung Kook of BTS),"Charlie Puth, BTS, Jung Kook",3,2022,6,24,3107,39,720434240,38,0,101,Major,88,72,59,62,0,9,3,Left and Right (Feat. Jung Kook of BTS),Left and Right (Feat. Jung Kook of BTS),Charlie Puth,6/24/2022,USAT22205563,"1,542",37.4,"947,763,871","59,942","47,877,896",72.0,"65,306,295","1,305,561","5,486","2,914,991","20,119,789"
BESO,"Rauw Alejandro, ROSALï¿½",2,2023,3,24,4053,50,357925728,82,121,95,Minor,77,53,64,74,0,17,14,BESO,RR,ROSALï¿½,3/24/2023,USSM12301258,313,86.3,"647,201,484","81,393","46,208,549",74.0,"186,060,248","1,524,559","946,380","131,649,631","1,792,090,770"
Hey Mor,"Ozuna, Feid",2,2022,10,6,4637,38,674072710,63,79,98,Minor,90,40,59,0,0,10,29,Hey Mor,Hey Mor,Ozuna,10/6/2022,QMDA62203322,364,80.1,"986,132,265","97,956","68,983,561",76.0,"383,748,675","1,303,919","793,798","154,969,251","2,145,975,300"
Karma,Taylor Swift,1,2022,10,21,3818,23,404562836,37,55,90,Major,64,10,62,7,0,48,7,Karma,Karma,JoJo Siwa,4/5/2024,USSM12401851,716,57.2,"17,310,258","1,840","5,419,557",,"43,892,777","368,031","199,600","134,373,320","1,314,113,353"
People,Libianca,1,2022,12,2,3506,56,373199958,105,64,198,Minor,59,71,42,55,0,10,7,People,People - Single,Libianca,12/5/2022,QZTB52268087,141,127.8,"631,955,547","121,823","45,030,006",74.0,"305,998,382","2,647,341","3,168,854","243,797,561","3,233,505,931"
Overdrive,Post Malone,1,2023,7,14,410,36,14780425,36,32,140,Major,56,48,73,0,0,35,4,Overdrive,Overdrive,Post Malone,7/14/2023,USUM72306020,"3,669",22.4,"130,236,751","27,992","6,772,366",63.0,"9,721,972","104,453","21,289","4,910,687","52,127,762"
Enchanted (Taylor's Version),Taylor Swift,1,2023,7,7,148,24,39578178,32,93,82,Major,51,22,53,1,0,15,3,Enchanted (Taylor's Version),Speak Now (Taylor's Version),Taylor Swift,7/7/2023,USUG12302081,"3,842",21.8,"285,889,664","23,393","21,692,426",75.0,,,,,
BABY HELLO,"Rauw Alejandro, Bizarrap",2,2023,6,23,1004,35,54266102,42,80,130,Minor,77,84,89,17,0,43,5,BABY HELLO,BABY HELLO - Single,Rauw Alejandro,6/23/2023,USSD12300274,"1,105",45.3,"268,383,799","47,936","46,787,442",68.0,"69,047,745","591,951","23,400","9,362,518","103,169,265"
Heat Waves,Glass Animals,1,2020,6,28,22543,63,2557975762,386,144,81,Major,76,53,53,44,0,9,9,Heat Waves,Heat Waves,Glass Animals,6/29/2020,GBUM72000433,71,175.0,"2,996,181,078","486,278","112,416,489",82.0,"1,272,898,075","14,947,520","1,416,295","513,334,446","5,518,429,969"
golden hour,JVKE,1,2022,7,15,4511,36,751134527,70,58,94,Minor,51,14,59,65,18,25,3,golden hour,golden hour,JVKE,7/15/2022,GBKPL2204171,183,111.4,"1,126,986,320","200,887","45,885,823",73.0,"293,553,015","5,388,022","461,623","313,934,124","2,305,840,359"
Sweater Weather,The Neighbourhood,1,2012,5,14,16413,61,2282771485,166,87,124,Major,61,41,81,5,2,10,3,Sweater Weather,I'm Sorry...,The Neighbourhood,1/1/2012,USSM11300080,809,53.9,"2,916,412,507","415,650","149,359,220",85.0,"1,648,485,745","18,338,729","1,248,637","324,536,571","2,911,383,718"
"Quevedo: Bzrp Music Sessions, Vol. 52","Bizarrap, Quevedo",2,2022,7,6,8506,45,1356565093,94,65,128,Major,62,55,78,1,3,23,4,"Quevedo: Bzrp Music Sessions, Vol. 52","Quevedo: Bzrp Music Sessions, Vol. 52",Bizarrap,7/6/2022,UYB282201028,92,161.7,"1,692,951,462","209,490","88,591,675",78.0,"1,132,539,234","8,795,731","1,212,100","196,608,777","2,054,826,154"
Viva La Vida,Coldplay,1,2008,1,1,33898,62,1592909789,233,0,138,Minor,49,42,62,9,0,11,3,Viva La Vida,Meu Pai ï¿½ï¿½ do ,Coldplay,9/21/2005,GBAYE0800265,"2,619",27.5,"2,102,223,775","335,772","128,128,093",80.0,"1,412,127,488","8,707,376","1,619,542","244,469,571","2,264,301,241"
Here With Me,d4vd,1,2022,7,17,3246,23,635412045,94,85,132,Major,58,27,48,50,0,12,3,Here With Me,Here With Me,d4vd,7/20/2022,QZMEM2209263,234,101.4,"1,042,311,849","154,178","58,833,842",80.0,"256,736,243","2,649,848","2,321,933","467,461,517","3,656,967,030"
Unholy (feat. Kim Petras),"Sam Smith, Kim Petras",2,2022,9,22,8576,42,1230675890,216,108,131,Major,71,24,47,1,0,27,9,Unholy (feat. Kim Petras),Unholy (feat. Kim Petras),Sam Smith,9/22/2022,GBUM72205415,60,189.1,"1,556,275,789","210,583","95,974,138",74.0,"254,051,906","3,364,206","2,379,787","683,088,623","7,945,975,878"
Yandel 150,"Yandel, Feid",2,2022,12,20,3618,38,585695368,47,74,168,Minor,78,58,73,5,0,10,7,Yandel 150,Yandel 150,Yandel,12/20/2022,QMFMF2215173,247,98.1,"837,576,264","102,545","38,825,844",70.0,"472,335,529","1,511,715","632,917","43,022,167","631,781,362"
CORAZï¿½ï¿½N VA,Maria Becerra,1,2023,6,22,370,20,43857627,12,16,98,Major,68,40,79,33,0,30,6,CORAZï¿½ï¿½N VA,CORAZï¿½ï¿½N VA,Maria Becerra,6/22/2023,USWL12301086,"1,094",45.8,"251,442,618","19,913","23,463,750",71.0,"209,201,810","958,198","249,263","61,634,866","541,965,678"
Riptide,Vance Joy,1,1975,1,1,31123,55,2009094673,300,65,102,Major,48,50,73,43,0,15,4,Riptide,Ministry Of Sound Presents Chillout Sessions XVI,Vance Joy,1/1/2013,AULI01385760,"1,223",42.8,"2,541,833,602","369,150","165,607,442",80.0,"533,440,453","4,627,060","856,131","383,809,767","3,108,986,398"
Until I Found You (with Em Beihold) - Em Beihold Version,"Em Beihold, Stephen Sanchez",2,2022,4,22,2790,30,600976848,60,96,101,Major,34,32,57,78,0,20,3,Until I Found You (with Em Beihold) - Em Beihold Version,Until I Found You (Em Beihold Version),Stephen Sanchez,4/22/2022,USUG12202266,986,48.6,"1,020,452,066","108,274","75,934,462",79.0,"114,404,861","1,372,385","228,100","129,184,868","1,013,000,586"
Novidade na ï¿½ï¿,"Mc Livinho, DJ Matt D",2,2023,6,23,267,9,39709092,9,6,130,Major,63,36,34,76,0,35,9,Novidade na ï¿½ï¿,Novidade na ï¿½ï¿,Mc Livinho,6/23/2023,BCDMP2300045,"2,794",26.6,"191,234,818","26,907","12,302,377",64.0,"67,753,459","593,702",,,
STAY (with Justin Bieber),"Justin Bieber, The Kid Laroi",2,2021,7,9,17050,36,2665343922,492,99,170,Major,59,48,76,4,0,10,5,STAY (with Justin Bieber),STAY (with Justin Bieber),The Kid LAROI,7/9/2021,USSM12103949,27,266.3,"3,107,100,349","451,732","134,793,519",78.0,"1,256,973,582","14,661,425","7,485,966","2,246,991,336","23,712,377,029"
El Merengue,"Marshmello, Manuel Turizo",2,2023,3,3,2114,44,223633238,80,75,124,Minor,78,70,68,3,1,11,4,El Merengue,El Merengue - Single,Marshmello,3/3/2023,USSD12300040,510,68.2,"528,420,867","59,791","80,570,021",75.0,"211,317,309","842,146","252,314","28,930,444","451,806,178"
Someone You Loved,Lewis Capaldi,1,2018,11,8,17836,53,2887241814,440,125,110,Major,50,45,41,75,0,11,3,Someone You Loved,Breach,Lewis Capaldi,11/8/2018,DEUM71807062,133,129.7,"3,427,498,835","338,763","160,553,919",82.0,"2,153,701,892","20,891,433","1,940,473","212,007,614","2,161,032,034"
Me Porto Bonito,"Chencho Corleone, Bad Bunny",2,2022,5,6,8870,43,1440757818,104,120,92,Minor,91,43,71,9,0,9,8,Me Porto Bonito,Un Verano Sin Ti,Bad Bunny,5/6/2022,QM6MZ2214877,64,184.8,"1,811,990,630","173,358","67,603,671",79.0,"1,516,863,120","8,870,768","4,506,600","549,886,060","6,470,937,272"
Fast Car,Luke Combs,1,2023,3,24,1446,12,157058870,57,97,98,Major,71,67,60,19,0,12,3,Fast Car,Gettin' Old,Luke Combs,3/24/2023,US6XF2200436,112,144.5,"518,988,585","73,116","58,391,498",80.0,"107,703,759","768,813","354,036","74,258,021","924,204,888"
What It Is (Solo Version),Doechii,1,2023,3,17,804,25,95131998,29,76,172,Minor,74,76,76,6,0,10,9,What It Is (Solo Version),What It Is (Versions),Doechii,3/17/2023,USUG12301967,"1,311",41.1,"308,738,277","38,674","36,667,220",70.0,"77,532,151","1,140,208","772,763","103,987,020","1,174,579,945"
Coco Chanel,"Bad Bunny, Eladio Carrion",2,2023,3,17,1962,38,250305248,28,89,150,Major,68,14,76,4,0,10,4,Coco Chanel,3MEN2 KBRN,Eladio Carrion,3/17/2023,QM4TX2344391,988,48.4,"459,282,058","67,717","32,043,186",72.0,"100,210,832","673,502","49,000","17,997,404","147,682,062"
